,thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
,64,"Carey, Hugh",10508,93,1973,NY,15,1,1,1960,0,0,0,52,2704,-0.392,0.345,0.0725,39,0,0,0,1,0,7,49,0,0,0,0,0,0,2,1,1,1,1,56,0,0,0,0,9,0,0,0,0,67,1,1,1,1,1.245461,
,65,"Carney, Charles",12044,93,1973,OH,19,1,1,1970,0,0,0,64,4096,-0.447,0.4,0.1275,23,0,0,1,0,0,2,4,1,0.355,0,0,0,0,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,58,3,3,3,3,1.782486,
,66,"Carter, Tim",10710,93,1973,KY,5,0,0,1964,0,0,0,74,5476,0.087,0.134,0.4065,7,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,1,1,1,1,1,42,1,1,1,1,0.305544,
,67,"Casey, Bob",1577,93,1973,TX,22,1,1,1958,0,0,0,70,4900,-0.053,0.006,0.2665,24,0,0,1,1,0,8,64,1,0.191,0,0,1,1,2,2,2,2,2,19,0,0,0,0,1,0,0,0,0,22,2,2,2,2,1.972013,
,68,"Cederberg, Elford",1610,93,1973,MI,10,0,0,1952,0,0,0,67,4489,0.212,0.259,0.5315,19,0,0,0,1,1,11,121,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,1,1,1,1,18,1,1,1,1,0.177367,
,69,"Chamberlain, Charles",1620,93,1973,MI,6,0,0,1956,0,0,0,51,2601,0.271,0.318,0.5905,19,0,0,0,1,0,9,81,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.087863,
,70,"Chappell, Bill",12007,93,1973,FL,4,1,1,1968,0,0,0,56,3136,0.002,0.049,0.3215,15,0,0,0,1,0,3,9,1,0.224,0,0,1,1,1,1,1,1,1,42,2,2,2,2,4,0,0,0,0,47,3,3,3,3,2.083651,
,71,"Chisholm, Shirley",12008,93,1973,NY,12,1,1,1968,1,1,0,88,7744,-0.644,0.597,0.3245,39,0,0,0,0,0,3,9,1,0.407,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0.01964,
,72,"Clancy, Donald",10510,93,1973,OH,2,0,0,1960,0,0,0,63,3969,0.394,0.441,0.7135,23,0,0,0,1,0,7,49,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0.160221,
,73,"Clark, Frank",1763,93,1973,PA,25,1,1,1954,0,0,0,56,3136,-0.302,0.255,0.0175,25,0,0,1,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,48,1,1,1,1,0,0,0,0,0,48,1,1,1,1,0.71111,
,74,"Clausen, Don",10579,93,1973,CA,1,0,0,1963,0,0,0,62,3844,0.157,0.204,0.4765,43,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,37,0,0,0,0,0.178827,
,75,"Clawson, Del",10580,93,1973,CA,23,0,0,1963,0,0,0,61,3721,0.522,0.569,0.8415,43,0,0,0,1,1,6,36,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,1,1,1,1,11,1,1,1,1,0.141188,
,76,"Clay, William",12009,93,1973,MO,1,1,1,1968,0,1,0,64,4096,-0.585,0.538,0.2655,10,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,0,6,1,1,1,1,0.489902,
,77,"Cleveland, James",10581,93,1973,NH,2,0,0,1962,0,0,0,68,4624,0.201,0.248,0.5205,2,0,0,0,0,0,6,36,1,0.062,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2,1,1,1,1,29,1,1,1,1,0.23422,
,78,"Cochran, Thad",14009,93,1973,MS,4,0,0,1972,0,0,0,48,2304,0.204,0.251,0.5235,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0.104402,
,79,"Cohen, William",14010,93,1973,ME,2,0,0,1972,0,0,0,54,2916,0.069,0.116,0.3885,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0.259454,
,80,"Collier, Harold",1941,93,1973,IL,6,0,0,1956,0,0,0,61,3721,0.365,0.412,0.6845,24,0,0,0,1,0,9,81,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0,0,54,0,0,0,0,0.26669,
,81,"Collins, Cardiss",14068,93,1973,IL,7,1,1,1973,1,1,0,,,-0.497,0.45,0.1775,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0.056852,
,82,"Collins, James",11066,93,1973,TX,3,0,0,1968,0,0,0,73,5329,0.657,0.704,0.9765,24,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.082695,
,83,"Conable, Barber",10712,93,1973,NY,35,0,0,1964,0,0,0,68,4624,0.323,0.37,0.6425,39,0,0,0,1,0,5,25,1,0.407,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0.17676,
,84,"Conlan, John",14011,93,1973,AZ,4,0,0,1972,0,0,0,53,2809,0.533,0.58,0.8525,4,0,0,0,0,0,1,1,1,0.269,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.025842,
,85,"Conte, Silvio",2009,93,1973,MA,1,0,0,1958,0,0,0,100,10000,-0.049,0.002,0.2705,12,0,0,0,1,0,8,64,1,0.386,0,0,0,0,1,1,1,1,1,70,0,0,0,0,7,2,2,2,1,78,3,3,3,2,1.456035,
,86,"Conyers, John",10713,93,1973,MI,1,1,1,1964,0,1,0,88,7744,-0.762,0.715,0.4425,19,0,0,1,0,0,5,25,0,0,0,0,0,0,1,1,1,1,0,27,0,0,0,0,0,0,0,0,0,28,1,1,1,0,0.730037,
,87,"Corman, James",10511,93,1973,CA,22,1,1,1960,0,0,0,68,4624,-0.536,0.489,0.2165,43,0,0,1,1,0,7,49,0,0,0,0,0,0,1,1,1,1,1,56,0,0,0,0,6,0,0,0,0,63,1,1,1,1,1.232023,
,88,"Cotter, William",13009,93,1973,CT,1,1,1,1970,0,0,0,57,3249,-0.299,0.252,0.0205,6,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0.043415,
,89,"Coughlin, Lawrence",12010,93,1973,PA,13,0,0,1968,0,0,0,67,4489,0.163,0.21,0.4825,25,0,0,0,1,0,3,9,1,0.345,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0.106469,
,90,"Crane, Philip",12041,93,1973,IL,12,0,0,1969,0,0,0,74,5476,0.739,0.786,1.0585,24,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0.166423,
,91,"Cronin, Paul",14012,93,1973,MA,5,0,0,1972,0,0,0,45,2025,-0.015,0.032,0.3045,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,55,1,1,1,1,4,1,1,1,1,59,2,2,2,2,0.844029,
,92,"Culver, John",10715,93,1973,IA,2,1,1,1964,0,0,0,59,3481,-0.306,0.259,0.0135,6,0,0,1,0,0,5,25,0,0,0,0,0,0,1,1,1,1,0,27,1,1,1,0,1,0,0,0,0,29,2,2,2,0,1.021148,
,93,"Daniel, Robert",14013,93,1973,VA,4,0,0,1972,0,0,0,47,2209,0.277,0.324,0.5965,10,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0.022741,
,94,"Daniel, W.",12011,93,1973,VA,5,1,1,1968,0,0,0,100,10000,0.197,0.244,0.5165,10,0,0,0,0,0,3,9,1,0.164,0,0,1,1,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0.038246,
,95,"Daniels, Dominick",2329,93,1973,NJ,14,1,1,1958,0,0,0,61,3721,-0.373,0.326,0.0535,15,0,0,1,0,0,8,64,0,0,0,0,0,0,8,5,5,2,1,50,1,1,1,1,1,0,0,0,0,59,6,6,3,2,3.435356,
,96,"Danielson, George",13010,93,1973,CA,29,1,1,1970,0,0,0,63,3969,-0.417,0.37,0.0975,43,0,0,0,0,0,2,4,1,0.526,0,0,0,0,0,0,0,0,0,47,2,2,2,2,8,5,5,5,4,55,7,7,7,6,1.605674,
,97,"Davis, John",10512,93,1973,GA,7,1,1,1960,0,0,0,58,3364,-0.117,0.07,0.2025,10,0,0,1,0,0,7,49,0,0,0,0,1,1,0,0,0,0,0,44,0,0,0,0,7,0,0,0,0,51,0,0,0,0,0.234646,
,98,"Davis, Glenn",2383,93,1973,WI,9,0,0,1946,0,0,0,61,3721,0.5,0.547,0.8195,9,0,0,0,1,0,14,196,1,0.249,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,1,1,1,1,12,1,1,1,1,0.146357,
,99,"Davis, Mendel",13048,93,1973,SC,1,1,1,1971,0,0,0,54,2916,-0.163,0.116,0.1565,6,0,0,0,0,0,2,4,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.062021,
,100,"Delaney, James",2476,93,1973,NY,9,1,1,1948,0,0,0,93,8649,-0.28,0.233,0.0395,39,0,0,0,1,0,13,169,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0.099233,
,101,"Dellenback, John",11011,93,1973,OR,4,0,0,1966,0,0,0,63,3969,0.245,0.292,0.5645,4,0,0,0,0,0,4,16,1,0.233,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,0,1,1,0,36,0,1,1,0,0.208473,
,102,"Dellums, Ronald",13011,93,1973,CA,7,1,1,1970,0,1,0,56,3136,-0.691,0.644,0.3715,43,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,114,1,1,0,0,4,1,1,0,0,118,2,2,0,0,0.818128,
,103,"Denholm, Frank",13012,93,1973,SD,1,1,1,1970,0,0,0,61,3721,-0.381,0.334,0.0615,6,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1,1,1,0,36,2,2,2,0,1,1,1,1,1,38,4,4,4,1,1.450345,
